SECTIONS,shipmonth,weight,status,region,TITLED,wgtadj,jstatus,jprice,jsqft,jbedroom,price,sqft,jtitle,jlocation,jfoundation,jsecured,bedrooms,location,foundation,secured,controlid
1,201609,14.2545,1,2,9,0.9102554617405921,I,I,I,I,47000,1000,9,9,9,9,3,9,9,9,16090072
1,201609,14.2545,2,2,1,0.9102554617405921,I,I,I,I,47000,1000,I,I,I,I,3,1,3,1,16090073
1,201609,14.2545,2,2,2,0.9102554617405921,I,I,I,I,47000,1000,I,I,I,I,3,1,1,9,16090074
1,201609,14.2545,2,2,2,0.9102554617405921,I,I,I,I,47000,1000,I,I,I,I,3,1,1,9,16090075
1,201609,14.2545,2,2,2,0.9102554617405921,I,I,I,I,47000,1000,I,I,I,I,3,1,2,1,16090076
1,201609,14.2545,2,2,2,0.9102554617405921,I,I,I,I,47000,1000,I,I,I,I,3,1,2,1,16090077
1,201609,14.2545,2,2,2,0.9102554617405921,I,I,I,I,47000,1000,I,I,I,I,3,1,3,1,16090078
1,201609,14.2545,2,2,2,0.9102554617405921,I,I,I,I,47000,1000,I,I,I,I,3,1,3,1,16090079
1,201609,14.2545,2,2,2,0.9102554617405921,I,I,I,I,47000,1000,I,I,I,I,3,1,3,1,16090080
1,201609,14.2545,2,2,2,0.9102554617405921,I,I,I,I,47000,1000,I,I,I,I,3,1,3,1,16090081
1,201609,14.2545,2,2,2,0.9102554617405921,I,I,I,I,47000,1000,I,I,I,I,3,1,3,1,16090082
1,201609,14.2545,2,2,2,0.9102554617405921,I,I,I,I,47000,1000,I,I,I,I,3,3,2,1,16090083
1,201609,14.2545,2,2,3,0.9102554617405921,I,I,I,I,47000,1000,I,I,I,I,3,1,3,1,16090084
1,201609,14.2545,2,2,3,0.9102554617405921,I,I,I,I,47000,1000,I,I,I,I,3,1,3,1,16090085
1,201609,14.2545,2,2,2,0.9102554617405921,R,R,R,R,40000,1100,R,R,R,R,1,3,1,9,16090086
1,201609,14.2545,2,2,1,0.9102554617405921,R,R,R,R,45000,1100,R,R,R,R,3,1,3,1,16090087
1,201609,14.2545,2,2,2,0.9102554617405921,R,R,R,R,45000,1100,R,R,R,R,1,1,3,1,16090088
1,201609,14.2545,1,2,9,0.9102554617405921,R,R,R,R,48000,1100,9,9,9,9,3,9,9,9,16090089
1,201609,14.2545,2,2,2,0.9102554617405921,I,I,I,I,49000,1100,I,I,I,I,3,3,3,1,16090090
1,201609,14.2545,2,2,2,0.9102554617405921,I,I,I,I,51000,1100,I,I,I,I,1,1,1,9,16090091
1,201609,14.2545,2,2,2,0.9102554617405921,I,I,I,I,51000,1100,I,I,I,I,1,3,3,1,16090092
1,201609,14.2545,2,2,2,0.9102554617405921,R,R,R,R,54000,1100,R,R,R,R,3,1,1,9,16090093
1,201609,18.5895,2,2,2,0.9102554617405921,R,R,R,R,61800,1100,R,R,R,R,3,1,3,1,16090094
1,201609,14.2545,2,2,2,0.9102554617405921,R,R,R,R,61800,1100,R,R,R,R,1,1,1,9,16090095
1,201609,14.2545,2,2,2,0.9102554617405921,R,R,R,R,27800,1200,R,R,R,R,3,1,2,1,16090096
