control,shipmonth,weight,wgtadj,status,region,titled,sections,price,sqft,bedrooms,location,foundation,secured,jstatus,jprice,jsqft,jbedroom,jtitle,jlocation,jfoundation,jsecured
17010114,201701,48.2357,1.0154,2,3,2,1,35000,900,1,3,3,1,R,R,R,R,R,R,R,R
17010115,201701,48.2357,1.0154,2,3,3,1,52000,1200,3,3,3,1,I,I,I,I,I,I,I,I
17010116,201701,48.2357,1.0154,2,3,3,1,50000,1200,3,3,3,1,R,I,I,I,I,I,I,I
17010117,201701,48.2357,1.0154,2,3,2,1,51000,1200,3,3,2,1,I,I,I,I,I,I,I,I
17010118,201701,48.2357,1.0154,2,3,2,1,49000,1200,3,3,1,9,R,R,R,R,R,R,R,R
17010119,201701,12.536800000000001,1.0154,2,3,2,1,43000,1000,1,3,1,9,I,I,I,I,I,I,I,I
17010120,201701,48.2357,1.0154,2,3,1,1,39000,700,1,3,1,9,I,I,I,I,I,I,I,I
17010121,201701,48.2357,1.0154,2,3,2,1,50000,1200,3,3,1,9,R,I,R,R,R,R,R,R
17010122,201701,48.2357,1.0154,2,3,2,1,45000,1200,3,1,1,9,R,R,R,R,R,R,R,R
17010123,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010124,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010125,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010126,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010127,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010128,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010129,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010130,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010131,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010132,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010133,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010134,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010135,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010136,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010137,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010138,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010139,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010140,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010141,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010142,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010143,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010144,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010145,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010146,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010147,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010148,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010149,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010150,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010151,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010152,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010153,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010154,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010155,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010156,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010157,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010158,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010159,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010160,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010161,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010162,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010163,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010164,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010165,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010166,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010167,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010168,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010169,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010170,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010171,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010172,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010173,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010174,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010175,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
